194	94	4304	2.000000249
110	175	791344	2.000000348
214	259	3696	2.000000365
165	272	1810928	2.000000620
252	123	3664	2.000000842
273	312	4040	2.000000996
96	114	5504	2.000001042
46	162	4376	2.000001045
108	84	7288	2.000001064
281	72	3160	2.000001583
101	197	4248	2.000001612
278	124	3688	2.000001953
89	173	601632	2.000002016
228	23	52104	2.000002023
205	249	8072	2.000002162
122	132	24336	2.000002317
197	32	3320	2.000002431
96	231	2381256	2.000002444
88	184	2832	2.000002543
263	216	2496	2.000002587
142	315	6568	2.000002721
116	234	955512	2.000002798
234	282	2852520	2.000002802
160	149	7776	2.000003204
25	118	7560	2.000003309
14	62	5112	2.000003386
246	269	184	2.000003408
265	191	7984	2.000003458
16	241	1072504	2.000003591
247	0	3880	2.000003707
208	114	6576	2.000004420
79	133	5944	2.000004511
217	204	5080	2.000004513
149	309	2744	2.000004714
268	25	5400	2.000004741
313	244	510680	2.000004852
146	93	6888	2.000005023
30	112	3576	2.000005080
215	307	450176	2.000005283
145	250	3776	2.000005495
173	298	818912	2.000005674
229	261	3104	2.000006019
196	62	3008	2.000006128
258	33	3800	2.000006314
237	93	4464	2.000006400
176	68	1840	2.000006460
203	286	2688	2.000006773
69	202	322008	2.000006809
96	92	13184	2.000006971
198	253	3088	2.000007098
165	163	7584	2.000007301
36	311	460768	2.000007606
230	274	2736	2.000007723
96	43	2536	2.000007824
10	187	3064	2.000008022
21	138	2728	2.000008178
7	12	299208	2.000008226
222	173	5176	2.000008315
12	163	2744	2.000008400
286	284	3576	2.000008404
159	203	261480	2.000008448
93	146	464536	2.000008538
298	35	334704	2.000008784
19	73	989232	2.000009088
230	216	3768	2.000009238
44	163	6040	2.000009350
289	12	320	2.000009538
66	269	3136	2.000009629
44	224	2480	2.000009852
123	273	616816	2.000009862
73	306	3458344	2.000009896
114	265	2904	2.000010338
51	1	4104	2.000010690
28	175	378152	2.000010718
161	31	4360	2.000010782
58	163	812672	2.000010820
79	263	14896	2.000010846
70	235	4024	2.000011312
23	131	10656	2.000011407
274	123	1832	2.000011425
192	130	7928	2.000011470
273	165	325696	2.000011675
47	190	281712	2.000011715
81	203	3352	2.000012298
131	190	660952	2.000012302
319	109	5552	2.000012354
186	318	498552	2.000012360
29	44	5936	2.000012503
121	259	3024	2.000012671
81	75	376928	2.000012695
273	151	392	2.000012980
56	172	15232	2.000013437
211	125	2888	2.000013658
231	236	15376	2.000013828
294	312	5440	2.000013997
246	147	367960	2.000014011
186	220	2432	2.000014219
216	20	6704	2.000014793
167	301	102840	2.000015162
141	171	3600	2.000015334
286	238	2648	2.000015337
74	146	437136	2.000015403
139	25	520	2.000016249
136	9	3528	2.000016283
43	58	612744	2.000016634
287	166	172528	2.000016644
310	249	4120	2.000016746
283	270	2704	2.000016750
121	187	4792	2.000016819
133	231	7136	2.000017045
79	182	258160	2.000017214
119	246	2856	2.000017259
271	198	2496	2.000017397
186	155	5128	2.000017687
177	272	5208	2.000017694
283	232	340576	2.000017800
159	67	2688	2.000017863
16	311	4528	2.000017955
273	240	1223992	2.000018095
198	169	55040	2.000018197
208	155	1785848	2.000018199
279	251	4496	2.000018451
70	15	5080	2.000018533
43	123	9176	2.000018611
271	60	2600	2.000019289
12	36	2600	2.000019654
150	23	48568	2.000019920
306	127	4872	2.000020175
124	163	2488	2.000020482
203	79	311376	2.000021202
274	158	14922160	2.000021523
12	275	350400	2.000021736
18	286	2680	2.000021995
71	144	10016	2.000021998
61	216	2776	2.000022430
130	238	6888	2.000022563
25	121	448608	2.000022654
1	16	1230712	2.000023535
160	201	7680	2.000023669
160	109	368856	2.000024386
20	54	13560	2.000024597
46	260	7312	2.000025655
233	301	6952	2.000025827
202	118	12016	2.000026156
242	226	9256	2.000026168
61	10	6688	2.000026359
167	156	2390256	2.000026891
211	250	6264	2.000027131
114	11	10184	2.000027192
138	129	2736	2.000027465
178	127	4896	2.000027777
255	30	3784	2.000027793
279	58	3147912	2.000028374
211	123	257376	2.000028717
167	274	696	2.000028742
141	78	8984	2.000029185
198	68	15392	2.000029199
64	216	3392	2.000029369
77	134	2381416	2.000029389
46	96	2672	2.000029434
47	33	4136	2.000029458
75	8	433216	2.000029487
29	294	7857792	2.000029497
157	55	6928	2.000030083
306	41	939816	2.000030482
319	74	5312	2.000030553
102	96	3928	2.000032138
160	234	3448	2.000032480
38	237	503264	2.000032574
161	140	32432	2.000032672
132	274	4528	2.000032808
40	114	5328	2.000033137
71	274	2448	2.000033635
111	302	4392	2.000033956
56	37	408216	2.000034853
23	137	155568	2.000035737
115	144	5304	2.000036674
